LST_Celsius,NDBI,NDVI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,Latitude,Longitude
36.54991931000001,0.00918854415274465,0.2234678248056305,21824,0,0.07970250000000001,0.08868125000000002,0.11213875000000001,0.12516,0.19719625000000002,0.20085375000000003,0.15883375,96,7137.0,309.69991931,737.5,1189.5,9880.0,0,220.5,10193.5,2540.5,19.047203548007246,72.83643629898755
39.73551395000004,-0.038169685414680715,0.421710864135212,21824,0,0.050992499999999996,0.05708374999999999,0.07670500000000002,0.0830575,0.20419500000000002,0.18918,0.12047125,96,7178.0,312.88551395,884.5,1176.5,9532.0,173,250.0,10371.0,2504.0,19.00974380065946,72.91297276119452
45.39746408000002,-0.007119784168310039,0.23782369166486997,21824,0,0.06610374999999999,0.07806625,0.10710625000000001,0.12814375,0.20811375000000001,0.20517125,0.17034249999999998,128,7152.5,318.54746408,1036.0,1185.5,9590.0,133,241.0,11042.5,2527.5,19.067415641899935,72.87874694886958
29.288335820000043,0.3022096507687571,-0.37447278569994,21952,0,0.0046549999999999925,0.01828125,0.06136,0.0342175,0.015572499999999989,0.029061249999999997,0.027012499999999995,224,7098.0,302.43833582,531.5,1200.5,9880.0,0,220.0,9495.5,2573.0,19.140179179913616,72.71112131685287
30.088152500000035,-0.10847077109057948,-0.23283970980195295,21952,0,0.03876874999999999,0.051542500000000005,0.07874,0.06446749999999998,0.04011624999999999,0.03226499999999999,0.028621249999999987,192,7129.5,303.2381525,652.5,1192.0,9880.0,0,220.5,9622.0,2546.5,19.0461255696663,72.81514622675391
39.298007390000066,-0.06410492848132554,0.18283422986092887,21824,0,0.06563625000000001,0.082205,0.11019999999999999,0.12456875,0.18031125,0.15858624999999998,0.1367925,160,7148.0,312.44800739000004,890.5,1186.5,9686.0,98,233.0,10479.5,2531.5,19.073344522775123,72.86581120877825
44.07469034000002,0.053818321074385604,0.2452792478079895,21824,0,0.0568225,0.06626875000000002,0.09099125,0.10856374999999999,0.17912875,0.19950625,0.15666125,96,7202.5,317.22469034,2423.0,1171.0,9570.0,196,238.5,10947.5,2486.0,19.095982067934937,73.03397582996543
29.455818799999975,0.241782035299521,-0.3481130478930445,21952,0,0.004943749999999997,0.021457500000000004,0.05555749999999998,0.029872499999999996,0.014445,0.023657499999999998,0.022227499999999997,224,7106.0,302.60581879999995,644.0,1198.5,9880.0,0,221.0,9533.0,2566.0,19.105144883832956,72.74453864542213
35.48862409999998,-0.056376853024053555,0.4605330020890972,21824,0,0.054182499999999995,0.058197499999999985,0.0722225,0.07165875,0.19400625,0.17329875,0.10465875,96,7090.5,308.63862409999996,633.0,1203.0,9812.5,73,224.0,10138.5,2572.5,18.95988730239083,72.80517492710018
42.55196243,0.09108902136689642,0.16415049960362746,21824,0,0.06659874999999998,0.07885,0.10369624999999999,0.11993500000000001,0.1670425,0.20052375,0.1812325,96,7195.0,315.70196243,2288.5,1173.5,9668.0,99,210.0,10751.5,2492.5,19.105144883832956,73.01376373607275
